學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
112,公立,一般大學,0001,國立政治大學,日間,學士班(含四技),2062,1,2032,184,98.71,本校學士班計34學系，1個學士學位學程，1個院大一大二不分系，1個創新國際學院學士班，領域包括文、理、法、商、傳播、外國語文、國際事務、社會科學、教育、創新國際及資訊等十一個學院。招收高中畢業或具同等學力資格學生，修業年限均為四年。招生管道有考試分發入學、大學繁星推薦、個人申請、特殊選才、運動績優單獨招生、轉學考試、外國學生申請入學及僑港澳生單獨招生及等。本校為國內最具人文社會科學特色之綜合型大學，強調多元探索、充實基礎課程及培養國際視野，辦學理念深獲社會各界肯定。每學期經由校際選課、校際交換、網路教學、雙主輔系及跨領域學分學程等措施，提供學生多元化的學習機會；並針對教學需求採大班教學或小班研討，兼顧學習品質；本校提供國際交換、國際志工、夏日學院與不同國家學生交流學習機會，透過跨領域學習與整合能力教育、人文素養培育、國際視野擴展及專業能力提升，期許每位政大畢業生成為新世紀領導人。
112,公立,一般大學,0001,國立政治大學,日間,碩士班,1260,2,1214,173,96.93,本校碩士班計57學系所(含14個碩士學位學程)，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學、教育及資訊科學等。本校向來為國內人文社會科學學術重鎮，國際化程度亦相當高，擁有堅強的國內外師資陣容、豐沛且多元的教學資源及卓越豐富的學術研究成果。此外，本校亦積極推展研究能量，除在11個學院等專業領域皆設有研究中心。本校各學系碩士班研究風氣良好，學生除透過專業學識的學習，並與指導教授及同儕間互相討論切磋、腦力激盪，促進學術研究的推展外，本校亦強調理論與實務的結合，積極鼓勵碩士生將所學理論應用在產業實習或實務上，提前做好未來就業準備。此外，本校無論是在學術表現或教學及研究成果，皆致力於國際化視野的培養，期許能夠培養出具備國際觀的專業領導與研究人才。
112,公立,一般大學,0001,國立政治大學,在職,碩士班,596,1,568,0,95.46,本校碩士在職專班計12學系所，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學、教育及資訊等，提供在職人士專業進修的機會。為培育兼具理論與實務的人才，本校各系所規劃以專業理論課程為導向，期以協助產業界培育各領域之專業研究人才，將所學知識應用在產業實務上，將來亦可配合產業與社會脈動調整專業領域之研究方向，同時結合各方業界校友的資源及人脈，培訓並育成更多創意、創新、創業的專業人才。
112,公立,一般大學,0001,國立政治大學,日間,博士班,140,1,110,45,84.24,本校博士班計38學系所(含3個博士學位學程)及1個院設博士班，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學、教育、資訊科學及創新國際等。為吸引優秀且具研究及學術發展潛力之博士班新生入學就讀，延續校內研究能量，本校於105學年度設立「卓政博士班獎助學金」及108學年度起獲國科會補助優秀博士生獎學金，以獎勵具有研究潛力之優秀博士生從事研究工作。本校各學系博士班研究風氣良好，學生除能持續累積專業學識，並與指導教授討論切磋，促進學術研究的推展外，本校亦積極鼓勵博士生與企業的產學合作，以期學識與實務密切接合。本校活躍於國際學術舞台，無論是學術表現或教學及研究成果， 在世界上均獲得極高的評價。未來將持續以國際一流的人文學術殿堂方向前進，培養具「領導思想、啟發社會、影響世界」的新世紀領導人。
112,公立,一般大學,0002,國立清華大學,日間,學士班(含四技),1963,0,1985,218,100.00,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程，設30多個跨院系學分學程，提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2018年英國QS世界大學排名，本校躍升至161名，其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依相關要點提出申請，經審議通過後核發，獎學金每年申請一次，最多四年。五、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分，本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
112,公立,一般大學,0002,國立清華大學,日間,碩士班,1934,45,1997,174,100.00,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程，設30多個跨院系學分學程，提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2018年英國QS世界大學排名，本校躍升至161名，其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依相關要點提出申請，經審議通過後核發，獎學金每年申請一次，最多四年。五、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分，本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
112,公立,一般大學,0002,國立清華大學,在職,碩士班,416,0,414,0,99.52,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程，設30多個跨院系學分學程，提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2018年英國QS世界大學排名，本校躍升至161名，其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依相關要點提出申請，經審議通過後核發，獎學金每年申請一次，最多四年。五、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分，本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
112,公立,一般大學,0002,國立清華大學,日間,博士班,279,0,215,77,82.02,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程，設30多個跨院系學分學程，提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2018年英國QS世界大學排名，本校躍升至161名，其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依相關要點提出申請，經審議通過後核發，獎學金每年申請一次，最多四年。五、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分，本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
112,公立,一般大學,0003,國立臺灣大學,日間,學士班(含四技),3467,1,3434,428,99.18,"本校目前已有14個學院(含進修推廣學院)，以及3個專業學院（牙醫、獸醫、藥學），共56學系、4個學士學位學程、153個研究所（含39個碩、博士學位學程），另設約50個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達32,000多人，其中大學部近17,000餘人，研究生15,000餘人，比例接近一比一，為一研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡及雙聯學位合作，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。"
112,公立,一般大學,0003,國立臺灣大學,日間,碩士班,3869,3,4040,309,100.00,"本校目前已有14個學院(含進修推廣學院)，以及3個專業學院（牙醫、獸醫、藥學），共56學系、4個學士學位學程、153個研究所（含39個碩、博士學位學程），另設有50餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達32,000多人，其中大學部近17,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。目前共開設134個碩士班。"
112,公立,一般大學,0003,國立臺灣大學,在職,碩士班,530,0,504,0,95.09,"本校目前已有14個學院(含進修推廣學院)，以及3個專業學院（牙醫、獸醫、藥學），共56學系、4個學士學位學程、153個研究所（含39個碩、博士學位學程），另設有50餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達32,000多人，其中大學部近17,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。目前共開設20個碩士在職專班。"
112,公立,一般大學,0003,國立臺灣大學,日間,博士班,683,2,511,83,77.75,"本校目前已有14個學院(含進修推廣學院)，以及3個專業學院（牙醫、獸醫、藥學），共56學系、4個學士學位學程、153個研究所（含39個碩、博士學位學程），另設有50餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達32,000多人，其中大學部近17,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。 目前共開設111個博士班。"
112,公立,一般大學,0004,國立臺灣師範大學,日間,學士班(含四技),1708,0,1710,222,100.00,本校學士班共有31個學系、5個學士學位學程及1個學院不分系。打破傳統學習模式，鼓勵跨域學習。教育學院學士班延後分流，大二起輔導至適性學系。本校亦提供輔系、雙主修登記制，修畢規定的第一門課即可申請，發展多元專長讓學位加值；也提供多元跨域學分學程，九大主題44個學分學程提供選修，成為跨域人才。針對有志升學的學生，提供學碩連修及逕讀博班的機制。  本校學習資源豐富，與臺大、臺科大共享資源，成立「臺灣大學系統」，提供學生跨校選課、雙主修及輔系機會。除了國內跨校選課，也鼓勵學生朝向國際化發展，與全球409所大學締結姊妹校，提供雙聯學制及赴外交換機會。另外，本校培育中等學校(含特殊教育)、國民小學及幼兒園師資類科，為全國中等學校任教科別最完備學校，並為第一所IB國際文憑師培機構。除了豐富的學習資源和拓展視野的機會，本校也致力實踐社會責任，提供晨光招生，優先錄取經濟不利及新住民子女，並提供獎助學金。
112,公立,一般大學,0004,國立臺灣師範大學,日間,碩士班,1464,47,1359,148,96.29,本校以培養具全人素養與跨領域領導人才為目標，設有教育、理、文、藝術、運動與休閒、科技與工程、國際與社會科學、管理、音樂、跨域科技產業創新研究學院等10個學院，共54碩士班/碩士學位學程。本校除了擁有完備的學術體制及優秀的師資，也與臺大及臺科大三校成立「國立臺灣大學系統」，提供學生跨校選課、修讀學分學程等，共享教學資源與深化合作。大學應屆畢業生及碩士班在校生也可跨校逕讀博士學位，以達縮短修業年限，及早就業之目標。本校為教育部雙語化學習計畫中的重點培育學校之一，各系所除了開設全英語課程外，多年來持續推動全英語授課之碩博士學位學程，目前已經有34 系所提供可以滿足畢業學分的全英語課程。本校現有409所姊妹校遍及全球，且各系所持續推動與國外知名大學簽訂學術合作、交流協議及交換協議，提供學生赴外學習機會。
