學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,男,8,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),女,190,9,8,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,1
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),女,41,9,6,0,0,0,0,3,0,0,0,1,2,0,0,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,女,12,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,男,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,女,22,9,9,0,0,0,0,3,1,1,0,1,2,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),男,35,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),男,10,6,6,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),女,127,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),女,10,5,5,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0
