學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),20,7,13,7.19
111,私立,一般大學,1014,義守大學,02112005,數位多媒體設計學系,學士班(日間),14,11,3,7.33
111,私立,一般大學,1014,義守大學,02122067,傳播與設計學院文創傳播與設計碩士班,碩士班(日間),5,2,3,31.25
111,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),65,17,48,53.28
111,私立,一般大學,1014,義守大學,02123006,創意商品設計學系,學士班(日間),5,3,2,3.23
111,私立,一般大學,1014,義守大學,02311002,應用英語學系,學士班(日間),40,11,29,13.79
111,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),22,9,13,7.19
111,私立,一般大學,1014,義守大學,03214063,傳播產製英語學士學位學程,學士班(日間),7,3,4,58.33
111,私立,一般大學,1014,義守大學,04111009,會計學系,學士班(日間),1,0,1,0.43
111,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),37,16,21,40.22
111,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,學士班(日間),2,1,1,0.51
111,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,碩士班(日間),1,0,1,8.33
111,私立,一般大學,1014,義守大學,04131010,企業管理學系,學士班(日間),31,11,20,9.45
111,私立,一般大學,1014,義守大學,04131010,企業管理學系,碩士班(日間),89,27,62,89.00
111,私立,一般大學,1014,義守大學,04131012,管理學院管理博士班,博士班,2,1,1,6.67
111,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),112,55,57,76.19
111,私立,一般大學,1014,義守大學,04141015,國際商務學系,學士班(日間),51,21,30,16.29
111,私立,一般大學,1014,義守大學,04199019,工業管理學系,學士班(日間),2,0,2,1.27
111,私立,一般大學,1014,義守大學,05121020,生物科技學系,學士班(日間),1,0,1,0.55
111,私立,一般大學,1014,義守大學,05191044,營養學系,學士班(日間),8,2,6,3.46
111,私立,一般大學,1014,義守大學,06131024,資訊管理學系,學士班(日間),11,9,2,3.31
111,私立,一般大學,1014,義守大學,06131027,資訊工程學系,學士班(日間),3,2,1,0.64
111,私立,一般大學,1014,義守大學,06131027,資訊工程學系,博士班,2,2,0,5.00
111,私立,一般大學,1014,義守大學,07111033,化學工程學系生物技術與化學工程博士班,博士班,2,1,1,7.69
111,私立,一般大學,1014,義守大學,07141026,電子工程學系,學士班(日間),2,2,0,0.83
111,私立,一般大學,1014,義守大學,07141072,智慧科技英語學士學位學程,學士班(日間),66,47,19,73.33
111,私立,一般大學,1014,義守大學,07151030,機械與自動化工程學系,學士班(日間),3,3,0,1.16
111,私立,一般大學,1014,義守大學,07321031,土木工程學系,學士班(日間),1,0,1,0.42
111,私立,一般大學,1014,義守大學,09121011,學士後醫學系外國學生專班,學士班(日間),74,27,47,100.00
111,私立,一般大學,1014,義守大學,09121040,學士後中醫學系,學士班(日間),3,2,1,1.22
111,私立,一般大學,1014,義守大學,09131046,護理學系,學士班(日間),3,1,2,0.65
111,私立,一般大學,1014,義守大學,09141050,醫學影像暨放射科學系,學士班(日間),1,1,0,0.30
111,私立,一般大學,1014,義守大學,09141061,醫學檢驗技術學系,學士班(日間),2,0,2,0.68
111,私立,一般大學,1014,義守大學,09151042,物理治療學系,學士班(日間),2,0,2,0.57
111,私立,一般大學,1014,義守大學,09152043,職能治療學系,學士班(日間),3,1,2,1.01
111,私立,一般大學,1014,義守大學,09191041,健康管理學系,學士班(日間),2,0,2,1.23
111,私立,一般大學,1014,義守大學,10131051,餐旅管理學系,學士班(日間),54,25,29,21.95
111,私立,一般大學,1014,義守大學,10131052,廚藝學系,學士班(日間),50,18,32,15.53
111,私立,一般大學,1014,義守大學,10151053,觀光學系,學士班(日間),31,6,25,15.05
111,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),78,27,51,52.70
111,私立,一般大學,1014,義守大學,10151057,休閒事業管理學系,學士班(日間),10,5,5,5.81
